TID,VAR,TRP,VAL,TRF,GRD
DC133214272,TC,R,1,R,0.0
DC133214272,TC,RG,1,R,
DC133214272,TC,RM,1,R,
DC133214272,TC,RS,1,R,
DC133214273,TC,R,0,R,1.0
DC133214273,TC,RG,0,R,
DC133214273,TC,RM,0,R,
DC133214273,TC,RS,0,R,
DC133214274,TC,R,0,R,
DC133214274,TC,RG,0,R,
DC133214274,TC,RM,0,R,
DC133214274,TC,RS,0,R,
DC133610311,TC,R,1,R,0.0
DC133610311,TC,RG,1,R,
DC133610311,TC,RM,1,R,
DC133610311,TC,RS,1,R,
DC133610312,TC,R,1,RS,
DC133610312,TC,RG,1,RS,
DC133610312,TC,RM,1,RS,
DC133610312,TC,RS,1,RS,
DC134010861,TC,R,1,R,1.0
DC134010861,TC,RG,1,R,
DC134010861,TC,RM,1,R,
DC134010861,TC,RS,1,R,
DC134010862,TC,R,0,RS,
DC134010862,TC,RG,0,RS,
DC134010862,TC,RM,0,RS,
DC134010862,TC,RS,0,RS,
DC137210011,TC,R,0,R,1.0
DC137210011,TC,RG,0,R,
DC137210011,TC,RM,0,R,
DC137210011,TC,RS,0,R,
DC137210012,TC,R,1,RS,
DC137210012,TC,RG,1,RS,
DC137210012,TC,RM,1,RS,
DC137210012,TC,RS,1,RS,
DC138013961,TC,R,0,R,0.0
DC138013961,TC,RG,0,R,
DC138013961,TC,RM,0,R,
DC138013961,TC,RS,0,R,
DC138013962,TC,R,1,R,1.0
DC138013962,TC,RG,1,R,
DC138013962,TC,RM,1,R,
DC138013962,TC,RS,1,R,
DC138013963,TC,R,0,R,1.0
DC138013963,TC,RG,0,R,
DC138013963,TC,RM,0,R,
DC138013963,TC,RS,0,R,
DC138013964,TC,R,0,R,
DC138013964,TC,RG,0,R,
DC138013964,TC,RM,0,R,
DC138013964,TC,RS,0,R,
DC140410231,TC,R,0,R,0.0
DC140410231,TC,RG,0,R,
DC140410231,TC,RM,0,R,
DC140410231,TC,RS,0,R,
DC140410232,TC,R,0,RS,
DC140410232,TC,RG,0,RS,
DC140410232,TC,RM,0,RS,
DC140410232,TC,RS,0,RS,1.0
DC140410233,TC,R,0,RS,
DC140410233,TC,RG,0,RS,
DC140410233,TC,RM,0,RS,
DC140410233,TC,RS,0,RS,
DC140414041,TC,R,1,R,0.0
DC140414041,TC,RG,1,R,
DC140414041,TC,RM,1,R,
DC140414041,TC,RS,1,R,
DC140414042,TC,R,1,R,0.0
DC140414042,TC,RG,1,R,
DC140414042,TC,RM,1,R,
DC140414042,TC,RS,1,R,
DC140414043,TC,R,0,R,0.0
DC140414043,TC,RG,0,R,
DC140414043,TC,RM,0,R,
DC140414043,TC,RS,0,R,
DC140414044,TC,R,0,R,
DC140414044,TC,RG,0,R,
DC140414044,TC,RM,0,R,
DC140414044,TC,RS,0,R,
DC144010161,TC,R,1,R,0.0
DC144010161,TC,RG,1,R,
DC144010161,TC,RM,1,R,
DC144010161,TC,RS,1,R,
DC144010162,TC,R,1,RS,
DC144010162,TC,RG,1,RS,
DC144010162,TC,RM,1,RS,
DC144010162,TC,RS,1,RS,
DC147413271,TC,R,1,R,1.0
DC147413271,TC,RG,1,R,
DC147413271,TC,RM,1,R,
DC147413271,TC,RS,1,R,
DC147413272,TC,R,1,R,0.0
DC147413272,TC,RG,1,R,
DC147413272,TC,RM,1,R,
DC147413272,TC,RS,1,R,
DC147413273,TC,R,0,R,1.0
DC147413273,TC,RG,0,R,
DC147413273,TC,RM,0,R,
DC147413273,TC,RS,0,R,
DC147413274,TC,R,1,R,
DC147413274,TC,RG,1,R,
DC147413274,TC,RM,1,R,
DC147413274,TC,RS,1,R,
DC147512471,TC,R,0,RG,
DC147512471,TC,RG,0,RG,0.0
DC147512471,TC,RM,0,RG,
DC147512471,TC,RS,0,RG,
DC147512472,TC,R,0,RG,
DC147512472,TC,RG,0,RG,1.0
DC147512472,TC,RM,0,RG,
DC147512472,TC,RS,0,RG,
DC147512473,TC,R,0,RG,
DC147512473,TC,RG,0,RG,
DC147512473,TC,RM,0,RG,
DC147512473,TC,RS,0,RG,
DC153814421,TC,R,0,R,1.0
DC153814421,TC,RG,0,R,
DC153814421,TC,RM,0,R,
DC153814421,TC,RS,0,R,
DC153814422,TC,R,0,R,1.0
DC153814422,TC,RG,0,R,
DC153814422,TC,RM,0,R,
DC153814422,TC,RS,0,R,
DC153814423,TC,R,1,R,0.0
DC153814423,TC,RG,1,R,
DC153814423,TC,RM,1,R,
DC153814423,TC,RS,1,R,
DC153814424,TC,R,0,R,
DC153814424,TC,RG,0,R,
DC153814424,TC,RM,0,R,
DC153814424,TC,RS,0,R,
DC156312051,TC,R,0,RS,
DC156312051,TC,RG,0,RS,
DC156312051,TC,RM,0,RS,
DC156312051,TC,RS,0,RS,0.0
DC156312052,TC,R,0,RS,
DC156312052,TC,RG,0,RS,
DC156312052,TC,RM,0,RS,
DC156312052,TC,RS,0,RS,
DC157312191,TC,R,0,RS,
DC157312191,TC,RG,0,RS,
DC157312191,TC,RM,0,RS,
DC157312191,TC,RS,0,RS,0.0
DC157312192,TC,R,0,RS,
DC157312192,TC,RG,0,RS,
DC157312192,TC,RM,0,RS,
DC157312192,TC,RS,0,RS,0.0
