TID,VAR,TRP,VAL,TRF,GRD
DC121910892,EGFR,RS,49.816942438349,RS,59.0
DC121910892,TC,RM,0.0,RS,
DC121910892,DEGFR,RM,0.0189366707435021,RS,
DC121910892,EGFR,RM,52.984707,RS,
DC121910893,TC,R,0.0,RS,
DC121910893,DEGFR,R,0.0720186374967392,RS,
DC121910893,EGFR,R,63.24909961230762,RS,
DC121910893,TC,RS,0.0,RS,
DC121910893,DEGFR,RS,-0.0726925839284191,RS,
DC121910893,EGFR,RS,54.71113754822327,RS,
DC121910893,TC,RM,0.0,RS,
DC121910893,DEGFR,RM,-0.0016070220430018,RS,
DC121910893,EGFR,RM,58.905186,RS,
DC123112001,TC,R,0.0,RS,
DC123112001,DEGFR,R,-0.0637115935440663,RS,
DC123112001,EGFR,R,49.62328554216448,RS,
DC123112001,TC,RS,0.0,RS,0.0
DC123112001,DEGFR,RS,-0.0895175800910313,RS,3.7735849056603774
DC123112001,EGFR,RS,48.25556825517534,RS,55.0
DC123112001,TC,RM,0.0,RS,
DC123112001,DEGFR,RM,-0.0267877398796801,RS,
DC123112001,EGFR,RM,51.58025,RS,
DC123112002,TC,R,0.0,RS,
DC123112002,DEGFR,R,-0.0911594252361158,RS,
DC123112002,EGFR,R,49.986231612013626,RS,
DC123112002,TC,RS,0.0,RS,0.0
DC123112002,DEGFR,RS,-0.0549469037879987,RS,-3.636363636363636
DC123112002,EGFR,RS,51.97792029166007,RS,53.0
DC123112002,TC,RM,0.0,RS,
DC123112002,DEGFR,RM,-0.0527660023082386,RS,
DC123112002,EGFR,RM,52.09787,RS,
DC123112003,TC,R,0.0,RS,
DC123112003,DEGFR,R,-0.0842807291019968,RS,
DC123112003,EGFR,R,48.53312135759417,RS,
DC123112003,TC,RS,0.0,RS,
DC123112003,DEGFR,RS,-0.0821546385650142,RS,
DC123112003,EGFR,RS,48.64580415605425,RS,52.0
DC123112003,TC,RM,0.0,RS,
DC123112003,DEGFR,RM,-0.0386020012621609,RS,
DC123112003,EGFR,RM,50.954094,RS,
DC123112311,TC,R,0.0,RG,
DC123112311,DEGFR,R,-0.0152450342986842,RG,
DC123112311,EGFR,R,51.20725821646842,RG,
DC123112311,TC,RS,0.0,RG,
DC123112311,DEGFR,RS,-0.0518755869822458,RG,
DC123112311,EGFR,RS,49.302469476923214,RG,
DC123112311,TC,RM,0.0,RG,
DC123112311,DEGFR,RM,-0.0356801106379582,RG,
DC123112311,EGFR,RM,50.144634,RG,
DC123112312,TC,R,0.0,RG,
DC123112312,DEGFR,R,-0.0950378179538036,RG,
DC123112312,EGFR,R,53.39276874072559,RG,
DC123112312,TC,RS,0.0,RG,
DC123112312,DEGFR,RS,-0.0791608234055444,RG,
DC123112312,EGFR,RS,54.32951141907288,RG,
DC123112312,TC,RM,0.0,RG,
DC123112312,DEGFR,RM,-0.0792893878484176,RG,
DC123112312,EGFR,RM,54.321926,RG,
DC123112313,TC,R,0.0,RG,
DC123112313,DEGFR,R,-0.0184182627889969,RG,
DC123112313,EGFR,R,45.15275991170614,RG,
DC123112313,TC,RS,0.0,RG,
DC123112313,DEGFR,RS,-0.0229443424223358,RG,
DC123112313,EGFR,RS,44.94456024857255,RG,
DC123112313,TC,RM,0.0,RG,
DC123112313,DEGFR,RM,-0.0346697931704313,RG,
DC123112313,EGFR,RM,44.40519,RG,
DC123613861,TC,R,0.0,R,1.0
DC123613861,DEGFR,R,-0.0367476024702587,R,-10.76923076923077
DC123613861,EGFR,R,62.61140583943318,R,58.0
DC123613861,TC,RS,0.0,R,
DC123613861,DEGFR,RS,-0.0692465445768974,R,
DC123613861,EGFR,RS,60.49897460250167,R,
DC123613861,TC,RM,0.0,R,
DC123613861,DEGFR,RM,-0.0435806274414062,R,
DC123613861,EGFR,RM,62.16726,R,
DC123613862,TC,R,0.0,R,1.0
DC123613862,DEGFR,R,0.0337999213318332,R,-10.344827586206897
DC123613862,EGFR,R,59.960395437246326,R,52.0
DC123613862,TC,RS,0.0,R,
DC123613862,DEGFR,RS,-0.0263305325136306,R,
DC123613862,EGFR,RS,56.47282911420943,R,
DC123613862,TC,RM,0.0,R,
DC123613862,DEGFR,RM,0.032418941629344,R,
DC123613862,EGFR,RM,59.8803,R,
DC123613863,TC,R,0.0,R,0.0
DC123613863,DEGFR,R,0.2474582010340981,R,1.9230769230769231
DC123613863,EGFR,R,64.8678264537731,R,53.0
DC123613863,TC,RS,0.0,R,
DC123613863,DEGFR,RS,0.0218469589349716,R,
DC123613863,EGFR,RS,53.13604186461853,R,
DC123613863,TC,RM,0.0,R,
DC123613863,DEGFR,RM,0.0745490147517277,R,
DC123613863,EGFR,RM,55.87655,R,
DC123613864,TC,R,0.0,R,
DC123613864,DEGFR,R,0.0138453044650359,R,
DC123613864,EGFR,R,53.7338011366469,R,
DC123613864,TC,RS,0.0,R,
DC123613864,DEGFR,RS,-0.0452170688928075,R,
DC123613864,EGFR,RS,50.6034953486812,R,
DC123613864,TC,RM,0.0,R,
DC123613864,DEGFR,RM,-0.0327617717239092,R,
DC123613864,EGFR,RM,51.263626,R,
DC125813371,TC,R,0.0,R,0.0
DC125813371,DEGFR,R,-0.0255791535248627,R,20.0
DC125813371,EGFR,R,43.84893809138118,R,54.0
DC125813371,TC,RS,0.0,R,
DC125813371,DEGFR,RS,-0.0773506439483917,R,
DC125813371,EGFR,RS,41.51922102232237,R,
DC125813371,TC,RM,0.0,R,
DC125813371,DEGFR,RM,-0.0749659220377604,R,
DC125813371,EGFR,RM,41.626534,R,
DC125813372,TC,R,1.0,R,0.0
DC125813372,DEGFR,R,-0.1606794546316335,R,-5.555555555555555
DC125813372,EGFR,R,45.32330944989179,R,51.0
DC125813372,TC,RS,1.0,R,
DC125813372,DEGFR,RS,-0.1247895692323183,R,
DC125813372,EGFR,RS,47.26136326145481,R,
DC125813372,TC,RM,1.0,R,
DC125813372,DEGFR,RM,-0.126742610224971,R,
DC125813372,EGFR,RM,47.1559,R,
DC125813373,TC,R,1.0,R,0.0
DC125813373,DEGFR,R,-0.1219233022479913,R,-1.96078431372549
DC125813373,EGFR,R,44.78191158535244,R,50.0
DC125813373,TC,RS,0.0,R,
DC125813373,DEGFR,RS,-0.0848882763109071,R,
DC125813373,EGFR,RS,46.67069790814374,R,
DC125813373,TC,RM,1.0,R,
DC125813373,DEGFR,RM,-0.1162023357316559,R,
DC125813373,EGFR,RM,45.07368,R,
DC125813374,TC,R,1.0,R,
DC125813374,DEGFR,R,-0.1971459683713254,R,
DC125813374,EGFR,R,40.14270158143373,R,
DC125813374,TC,RS,1.0,R,
DC125813374,DEGFR,RS,-0.1284964518504099,R,
DC125813374,EGFR,RS,43.5751774074795,R,
DC125813374,TC,RM,1.0,R,
DC125813374,DEGFR,RM,-0.1332172393798828,R,
DC125813374,EGFR,RM,43.339138,R,
DC125913021,TC,R,0.0,R,1.0
DC125913021,DEGFR,R,-0.0224087809355729,R,-28.94736842105263
DC125913021,EGFR,R,37.14846632444823,R,27.0
DC125913021,TC,RS,0.0,R,
DC125913021,DEGFR,RS,-0.0521710252467915,R,
DC125913021,EGFR,RS,36.01750104062192,R,
DC125913021,TC,RM,0.0,R,
DC125913021,DEGFR,RM,-0.0542917753520764,R,
DC125913021,EGFR,RM,35.936913,R,
DC125913022,TC,R,0.0,R,0.0
DC125913022,DEGFR,R,0.3037516016382592,R,22.22222222222222
DC125913022,EGFR,R,35.201293244233,R,33.0
DC125913022,TC,RS,0.0,R,
DC125913022,DEGFR,RS,0.1605105089831041,R,
DC125913022,EGFR,RS,31.33378374254381,R,
DC125913022,TC,RM,0.0,R,
DC125913022,DEGFR,RM,0.1654860178629557,R,
DC125913022,EGFR,RM,31.468122,R,
DC125913023,TC,R,0.0,R,1.0
DC125913023,DEGFR,R,-0.0586242421676381,R,-24.24242424242424
DC125913023,EGFR,R,31.06540000846794,R,25.0
DC125913023,TC,RS,0.0,R,
DC125913023,DEGFR,RS,-0.0260089340022506,R,
DC125913023,EGFR,RS,32.14170517792573,R,
DC125913023,TC,RM,0.0,R,
DC125913023,DEGFR,RM,-0.0635518738717743,R,
DC125913023,EGFR,RM,30.902788,R,
DC125913024,TC,R,0.0,R,
DC125913024,DEGFR,R,0.2063173189821901,R,
DC125913024,EGFR,R,30.15793297455476,R,
DC125913024,TC,RS,0.0,R,
DC125913024,DEGFR,RS,0.1662626881642384,R,
DC125913024,EGFR,RS,29.15656720410596,R,
DC125913024,TC,RM,0.0,R,
DC125913024,DEGFR,RM,0.1526038360595703,R,
DC125913024,EGFR,RM,28.815096,R,
DC128210041,TC,R,1.0,RS,
DC128210041,DEGFR,R,-0.3299498804118402,RS,
DC128210041,EGFR,R,52.26390932787646,RS,
DC128210041,TC,RS,1.0,RS,0.0
DC128210041,DEGFR,RS,-0.1225280841026385,RS,11.538461538461538
DC128210041,EGFR,RS,68.44280943999419,RS,87.0
DC128210041,TC,RM,1.0,RS,
DC128210041,DEGFR,RM,-0.1223348959898337,RS,
DC128210041,EGFR,RM,68.45788,RS,
DC128210042,TC,R,1.0,RS,
DC128210042,DEGFR,R,-0.357595647515823,RS,
DC128210042,EGFR,R,55.8891786661234,RS,
DC128210042,TC,RS,0.0,RS,0.0
DC128210042,DEGFR,RS,-0.089175302221672,RS,-3.4482758620689653
DC128210042,EGFR,RS,79.24174870671453,RS,84.0
DC128210042,TC,RM,0.0,RS,
DC128210042,DEGFR,RM,-0.0869684328978089,RS,
DC128210042,EGFR,RM,79.43375,RS,
DC128210043,TC,R,1.0,RS,
DC128210043,DEGFR,R,-0.24893662359826,RS,
DC128210043,EGFR,R,63.08932361774616,RS,
DC128210043,TC,RS,1.0,RS,
DC128210043,DEGFR,RS,-0.1166100004925231,RS,
DC128210043,EGFR,RS,74.20475995862806,RS,
DC128210043,TC,RM,0.0,RS,
DC128210043,DEGFR,RM,-0.0795622326078869,RS,
DC128210043,EGFR,RM,77.31677,RS,
DC130411561,TC,R,1.0,R,1.0
DC130411561,DEGFR,R,-0.2920605954465208,R,-11.864406779661016
DC130411561,EGFR,R,41.76842486865527,R,52.0
DC130411561,TC,RS,1.0,R,
DC130411561,DEGFR,RS,-0.1644639198535052,R,
DC130411561,EGFR,RS,49.29662872864319,R,
DC130411561,TC,RM,1.0,R,
DC130411561,DEGFR,RM,-0.1641793978416313,R,
DC130411561,EGFR,RM,49.313416,R,
DC130411562,TC,R,1.0,RM,
DC130411562,DEGFR,R,-0.3486156098367327,RM,
DC130411562,EGFR,R,33.8719882884899,RM,
DC130411562,TC,RS,1.0,RM,
DC130411562,DEGFR,RS,-0.1765122370676951,RM,
DC130411562,EGFR,RS,42.821363672479855,RM,
DC130411562,TC,RM,1.0,RM,
DC130411562,DEGFR,RM,-0.1448543988741361,RM,
DC130411562,EGFR,RM,44.46757,RM,
DC130810501,TC,R,0.0,R,0.0
DC130810501,DEGFR,R,0.1244120514786636,R,33.333333333333336
DC130810501,EGFR,R,80.95766770646378,R,96.0
DC130810501,TC,RS,0.0,R,
DC130810501,DEGFR,RS,-0.0383919037140167,R,
DC130810501,EGFR,RS,69.2357829325908,R,
DC130810501,TC,RM,0.0,R,
DC130810501,DEGFR,RM,0.0715071360270182,R,
DC130810501,EGFR,RM,77.14851,R,
DC130810502,TC,R,1.0,RS,
DC130810502,DEGFR,R,-0.1514724708534217,RS,
